MULakeNumber,waterBody,samplingSite,Date,Time,beginDepth,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeDesc
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,Cl,mg Cl/L,5.25,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,Cl,mg Cl/L,5.420000076,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,DOC,mg/L,5.300000191,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,DOC,mg/L,5.400000095,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,NH4,ug/L,9,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,NO3,ug/L,66,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,PIM,mg/L,0.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,PIM,mg/L,1,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,POM,mg/L,1.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,POM,mg/L,1.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,SiO2,mg SiO2-Si/L,0.860000014,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,SiO2,mg SiO2-Si/L,0.879999995,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TN,ug/L,640,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TN,ug/L,660,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TN,ug/L,540,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TN,ug/L,630,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TN,ug/L,580,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TP,ug/L,23,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TP,ug/L,22,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TSS,mg/L,2.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,1.4,TSS,mg/L,2.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0,ALK,mg CaCO3/L,92,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,ANA_tox,ug/L,0.31,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,ANA_tox,ug/L,0.29,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,CYL_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,CYL_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,MIC_tox,ug/L,0.13,NA
003,Bowling Green (East),Bowling Green (East) 1,2020-06-29,NA,0,0.5,MIC_tox,ug/L,0.07,Below detection limit
