MULakeNumber,waterBody,samplingSite,Date,Time,beginDepth,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeDesc
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,ANA_tox,ug/L,0.323,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,ANA_tox,ug/L,0.351,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,CHL_A_COR,ug/L,3.82,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,CHL_A_COR,ug/L,4.37,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,CHL_A_COR,ug/L,4.85,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,CHL_A_COR,ug/L,4.54,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,CHL_A_lab,ug/L,6.33,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,CHL_A_lab,ug/L,7.44,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,CHL_A_lab,ug/L,7.14,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,CHL_A_lab,ug/L,7.11,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,CYL_tox,ug/L,0,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,MIC_tox,ug/L,0.042,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,MIC_tox,ug/L,0.021,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,NH4,ug/L,18,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,NH4,ug/L,15,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,NO3,ug/L,9,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,NO3,ug/L,10,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,PHEO,ug/L,5.39,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,PHEO,ug/L,6.61,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,PHEO,ug/L,4.92,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,PHEO,ug/L,5.51,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,PIM,mg/L,2,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,PIM,mg/L,1.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,POM,mg/L,2.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,POM,mg/L,3.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,SAX_tox,ug/L,0.01,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0.5,SAX_tox,ug/L,0.008,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,SECCHI,m,1.45,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,SECCHI,m,1.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TDN,ug/L,370,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TDN,ug/L,360,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TDN,ug/L,350,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TN,ug/L,460,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TN,ug/L,570,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TN,ug/L,480,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TN,ug/L,450,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TN,ug/L,480,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TN,ug/L,510,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TN,ug/L,490,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TP,ug/L,20,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,0,TP,ug/L,18,NA
003,Bowling Green (East),Bowling Green (East) 1,2023-06-05,NA,0,2.13,TP,ug/L,23,NA
